waste,resource
Coal fly ash,Raw material for Construction materials production
Waste heat,Heat
Fuel gas,Fuel
Fuel oil,Fuel
Waste heat,Heat
Electricity,Process energy
Waste heat,Heat
Waste heat,Heat
"Sea and well water, condensing vapour",Water
Electricity,Process energy
BF slag,Raw material for Cement production
Exhaust gas,Process heat
Waste heat,Heat
Construction and demolition waste,Raw material for Road construction
Electricity,Process energy
Electricity,Process energy
Electricity,Process energy
Electricity,Process energy
Electricity,Process energy
Oil mill waste water,Fertilizer
Fly ash,Soil quality improvement and fertiliser
Fly ash,Raw material for Glass and glass-ceramic production
Fly ash,Raw material for Production of bricks
Fly ash,Raw material for Road construction
