waste,resource
Coal fly ash,Raw material for Cement production
Coal fly ash,Fuel
Coal fly ash,Fertilizer
Coal fly ash,Fertiliser
Coal fly ash,Soil quality improvement and fertiliser
Coal fly ash,Paving
Coal fly ash,Raw material for Road construction
Coal fly ash,Heat
Fuel oil,Water
Fuel oil,Water
Electricity,Fuel
Electricity,Fertilizer
Electricity,Fuel
Electricity,Fertilizer
BF slag,Fertilizer
BF slag,Fertiliser
BF slag,Raw material for Construction materials production
BF slag,Raw material for Production of refractories
Construction and demolition waste,Raw material for Cement production
Construction and demolition waste,Water
Construction and demolition waste,Fuel
Construction and demolition waste,Water
Construction and demolition waste,Soil quality improvement and fertiliser
Construction and demolition waste,Fertilizer
Construction and demolition waste,Fertiliser
Construction and demolition waste,Raw material for Construction materials production
Construction and demolition waste,Raw material for Production of bricks
Construction and demolition waste,Raw material for Production of concrete
Construction and demolition waste,Raw materials
Construction and demolition waste,Paving
Construction and demolition waste,Heat
Electricity,Fuel
Electricity,Fertilizer
Oil mill waste water,Fuel
Oil mill waste water,Fertiliser
Oil mill waste water,Soil quality improvement and fertiliser
Oil mill waste water,Raw materials
Fly ash,Raw material for Cement production
Fly ash,Fuel
Fly ash,Fertiliser
Fly ash,Fertilizer
Fly ash,Raw material for Construction materials production
Fly ash,Paving
Fly ash,Heat
Marc and dregs,Fertilizer
Marc and dregs,Soil quality improvement and fertiliser
