donor,receiver,donor_wastes,receiver_resources,maestri_num_exchanges,our_num_exchanges,final_num_exchanges,maestri_exchanges_details,our_exchanges_details,final_exchanges_details
CEMENTIR,ND - Agroindustry,"Coal fly ash
Waste heat","Fertilizer
Fertiliser
Soil quality improvement and fertiliser",0,3,2,,"power plant ash -> fertilizer
fly ash -> fertilizer
fly ash -> bio-fertilizer","Coal fly ash -> Fertiliser
Coal fly ash -> Fertilizer"
CEMENTIR,ND - Construction materials production,"Coal fly ash
Waste heat",Raw material for Construction materials production,1,0,0,Coal fly ash -> Raw material for Construction materials production,,
CEMENTIR,ND - Electricity production - Organic Rankine Cycle,"Coal fly ash
Waste heat",Process heat,1,0,0,Waste heat -> Process heat,,
CEMENTIR,Taranto,"Coal fly ash
Waste heat","Heat
Cooling",1,1,1,Waste heat -> Heat,power plant ash -> heat,Coal fly ash -> Heat
ENI refinery,Enipower power station,"Fuel gas
Fuel oil
Waste heat","Fuel
Water",2,0,0,"Fuel gas -> Fuel
Fuel oil -> Fuel",,
ENI refinery,ND - Electricity production - Organic Rankine Cycle,"Fuel gas
Fuel oil
Waste heat",Process heat,1,0,0,Waste heat -> Process heat,,
ENI refinery,Taranto,"Fuel gas
Fuel oil
Waste heat","Heat
Cooling",1,0,0,Waste heat -> Heat,,
Edison power station,ILVA,"Electricity
Steam
Waste heat","Process energy
Process heat",2,0,0,"Electricity -> Process energy
Steam -> Process heat",,
Edison power station,Taranto,"Electricity
Steam
Waste heat","Heat
Cooling",1,0,0,Waste heat -> Heat,,
EniPower power station,ND - Electricity production - Organic Rankine Cycle,Waste heat,Process heat,1,0,0,Waste heat -> Process heat,,
EniPower power station,Taranto,Waste heat,"Heat
Cooling",1,0,0,Waste heat -> Heat,,
Enipower power station,ENI refinery,"Vapour and demineralised water
Electricity
Sea and well water, condensing vapour","Process heat
Process energy
Water",3,0,0,"Vapour and demineralised water -> Process heat
Electricity -> Process energy
Sea and well water, condensing vapour -> Water",,
ILVA,CEMENTIR,"Demineralised water
Exhaust gas
Mill scales
BF slag
Waste heat
Waste coolant
Refractories
BFS/BOSF
BOSF
BFS
BOFS as aggregate","Raw material for Cement production
Process energy",2,0,0,"Mill scales -> Raw material for Cement production
BF slag -> Raw material for Cement production",,
ILVA,Edison power station,"Demineralised water
Exhaust gas
Mill scales
BF slag
Waste heat
Waste coolant
Refractories
BFS/BOSF
BOSF
BFS
BOFS as aggregate","Process heat
Process energy",1,0,0,Exhaust gas -> Process heat,,
ILVA,Enipower power station,"Demineralised water
Exhaust gas
Mill scales
BF slag
Waste heat
Waste coolant
Refractories
BFS/BOSF
BOSF
BFS
BOFS as aggregate","Fuel
Water",1,0,0,Demineralised water -> Water,,
ILVA,ND - Agroindustry,"Demineralised water
Exhaust gas
Mill scales
BF slag
Waste heat
Waste coolant
Refractories
BFS/BOSF
BOSF
BFS
BOFS as aggregate","Fertilizer
Fertiliser
Soil quality improvement and fertiliser",1,1,2,BFS -> Fertiliser,blast furnace slag -> fertilizer,"BF slag -> Fertiliser
BF slag -> Fertilizer"
ILVA,ND - Glass and glass-ceramic production,"Demineralised water
Exhaust gas
Mill scales
BF slag
Waste heat
Waste coolant
Refractories
BFS/BOSF
BOSF
BFS
BOFS as aggregate",Raw material for Glass and glass-ceramic production,1,0,0,BFS -> Raw material for Glass and glass-ceramic production,,
ILVA,ND - Isolated buildings,"Demineralised water
Exhaust gas
Mill scales
BF slag
Waste heat
Waste coolant
Refractories
BFS/BOSF
BOSF
BFS
BOFS as aggregate",Removal or retention of phosphorous from wastewater,1,0,0,BFS -> Removal or retention of phosphorous from wastewater,,
ILVA,ND - Marine embarkments,"Demineralised water
Exhaust gas
Mill scales
BF slag
Waste heat
Waste coolant
Refractories
BFS/BOSF
BOSF
BFS
BOFS as aggregate",Raw material for Marine embarkments,1,0,0,BFS/BOSF -> Raw material for Marine embarkments,,
ILVA,ND - Production of bricks,"Demineralised water
Exhaust gas
Mill scales
BF slag
Waste heat
Waste coolant
Refractories
BFS/BOSF
BOSF
BFS
BOFS as aggregate",Raw material for Production of bricks,1,0,0,BFS -> Raw material for Production of bricks,,
